GENEID	HepG2_directRNA_R1.sorted	A549_directRNA_R2.sorted	A549_directRNA_R3.sorted	HepG2_directRNA_R2.sorted	HepG2_directRNA_R3.sorted	A549_directRNA_R1.sorted
ENSG00000225867	0	0	0	0	0	0
ENSG00000225929	0	0	0	0	0	0
ENSG00000225971	0	0	0	0	0	0
ENSG00000226024	0	0	0	0	0	0
ENSG00000226085	3	31	10	2	0	2
ENSG00000226142	0	0	1	0	0	0
ENSG00000226160	0	0	0	0	0	0
ENSG00000226169	0	0	0	0	0	0
ENSG00000226233	0	0	0	0	0	0
ENSG00000226287	6	38	10	3	2	3
ENSG00000226328	6	12	4	0	0	3
ENSG00000226336	0	0	0	0	0	0
ENSG00000226420	0	0	0	0	0	0
ENSG00000226444	0	0	0	0	0	0
ENSG00000226450	0	0	0	0	0	0
ENSG00000226471	0	4	3	0	0	0
ENSG00000226474	0	0	0	0	0	0
ENSG00000226477	0	0	0	0	0	0
ENSG00000226534	0	0	0	0	0	0
ENSG00000226573	0	0	2	0	0	0
ENSG00000226595	0	0	0	0	0	0
ENSG00000226738	0	0	0	0	0	0
ENSG00000226741	0	0	0	0	0	0
ENSG00000226772	0	0	0	0	0	0
ENSG00000226872	0	0	0	0	0	0
ENSG00000226885	0	1	0	0	0	0
ENSG00000226912	0	0	0	0	0	0
ENSG00000226954	0	0	0	0	0	0
ENSG00000226989	0	0	0	0	0	0
ENSG00000227009	0	0	0	0	0	0
ENSG00000227117	0	0	0	0	0	0
ENSG00000227188	0	0	0	0	0	0
ENSG00000227201	0	1	0	0	0	0
ENSG00000227367	0	0	0	0	0	0
ENSG00000227370	0	0	0	0	0	0
ENSG00000227413	0	0	0	0	0	0
ENSG00000227484	0	0	0	0	0	0
ENSG00000227519	0	0	0	0	0	0
ENSG00000227710	0	0	0	0	0	0
ENSG00000227755	0	0	0	0	0	0
ENSG00000227813	0	0	0	0	0	0
ENSG00000227838	0	0	0	0	0	0
ENSG00000227880	0	0	0	0	0	0
ENSG00000227895	0	0	0	0	0	0
ENSG00000228039	0	0	0	0	0	0
ENSG00000228045	0	0	0	0	0	0
ENSG00000228050	0	0	0	0	0	0
ENSG00000228122	0	0	0	0	0	0
ENSG00000228161	0	0	0	0	0	0
ENSG00000228194	0	0	0	0	0	0
ENSG00000228274	0	0	1	1	0	0
ENSG00000228315	17	4	4.00002	5	0	0
ENSG00000228587	0	0	0	0	0	0
ENSG00000228599	0	0	0	0	0	0
ENSG00000228620	0	0	0	0	1	0
ENSG00000228622	0	0	0	0	0	0
ENSG00000228719	0	0	0	0	0	0
ENSG00000228807	0	0	0	0	1	0
ENSG00000228839	0	0	0	0	0	0
ENSG00000228923	0	0	0	0	0	0
ENSG00000229027	0	0	0	0	0	0
ENSG00000229088	0	0	0	0	0	0
ENSG00000229107	0	0	0	0	0	0
ENSG00000229169	0	0	0	0	0	0
ENSG00000229266	0	0	0	0	0	0
ENSG00000229275	0	0	0	0	0	0
ENSG00000229286	0	0	0	0	0	0
ENSG00000229409	0	0	0	0	0	0
ENSG00000229492	0	0	0	0	0	0
ENSG00000229598	0	1	1	0	0	0
ENSG00000229608	0	0	0	0	0	0
ENSG00000229658	0	0	0	0	0	0
ENSG00000229673	0	0	0	0	0	0
ENSG00000229770	0	0	0	0	0	0
ENSG00000229891	1	3	0	0	0	0
ENSG00000229955	0	0	0	0	0	0
ENSG00000229971	0	0	0	0	0	0
ENSG00000229999	0	0	0	0	0	0
ENSG00000230051	0	0	0	0	0	0
ENSG00000230071	1	5	2	1	0	0
ENSG00000230107	0	0	1	0	0	0
ENSG00000230120	0	0	0	0	0	0
ENSG00000230137	0	0	0	0	0	0
ENSG00000230149	0	0	0	0	0	0
ENSG00000230194	0	0	0	0	0	0
ENSG00000230203	0	1	2	0	0	0
ENSG00000230319	0	1	0	0	0	0
ENSG00000230345	0	0	0	0	0	0
ENSG00000230471	0	0	0	0	0	0
ENSG00000230481	0	0	0	0	0	0
ENSG00000230485	0	0	0	0	0	0
ENSG00000230513	1	14	4	0	1	1
ENSG00000230634	0	0	0	0	0	0
ENSG00000230637	0	0	0	0	0	0
ENSG00000230643	0	0	0	0	0	0
ENSG00000230701	1	0	0	1	0	0
ENSG00000230712	1	0	0	0	0	0
ENSG00000230736	0	0	0	0	0	0
ENSG00000230741	0	0	0	0	0	0
ENSG00000230769	0	0	0	0	0	0
ENSG00000230821	0	0	0	0	0	0
ENSG00000230866	0	0	0	0	0	0
ENSG00000230912	0	0	0	0	0	0
ENSG00000230922	0	2	0	0	0	0
ENSG00000230947	0	0	0	0	0	0
ENSG00000231004	0	0	0	0	0	0
ENSG00000231010	0	0	0	0	0	1
ENSG00000231086	0	0	0	0	0	0
ENSG00000231253	0	0	0	0	0	0
ENSG00000231261	0	0	0	0	0	0
ENSG00000231271	0	0	0	0	0	0
ENSG00000231369	0	0	2	0	0	0
ENSG00000231392	0	0	0	0	0	0
ENSG00000231405	0	0	0	0	0	0
ENSG00000231466	1	0	0	0	0	0
ENSG00000231467	0	0	0	0	0	0
ENSG00000231495	0	0	0	0	0	0
ENSG00000231565	0	0	0	0	0	0
ENSG00000231576	0	0	0	0	0	0
ENSG00000231711	0	0	0	0	0	0
ENSG00000231801	0	0	0	0	0	0
ENSG00000231907	0	0	2	0	0	1
ENSG00000231933	0	0	0	0	0	0
ENSG00000231993	3	1	1	0	0	0
ENSG00000232050	0	0	0	0	0	0
ENSG00000232073	0	0	0	0	0	0
ENSG00000232081	0	0	0	0	0	0
ENSG00000232218	0	0	0	0	0	0
ENSG00000232254	0	0	0	0	0	0
ENSG00000232305	0	0	0	0	0	0
ENSG00000232346	361	1339	244	56	30	218
ENSG00000232350	0	0	0	0	0	0
ENSG00000232363	0	0	0	0	0	0
ENSG00000232396	0	0	0	0	0	0
ENSG00000232464	0	0	0	0	0	0
ENSG00000232515	0	0	0	0	0	0
ENSG00000232530	0	1	0	0	0	0
ENSG00000232545	0	0	0	0	0	0
ENSG00000232564	0	0	0	0	0	0
ENSG00000232603	0	0	0	0	0	0
ENSG00000232655	0	0	0	0	0	0
ENSG00000232707	0	0	0	0	0	0
ENSG00000232710	0	0	0	0	0	0
ENSG00000232754	0	0	0	0	0	0
ENSG00000232771	0	0	0	0	0	0
ENSG00000232775	1	5	1	0	0	0
ENSG00000232897	0	0	0	0	0	0
ENSG00000232926	0	0	0	0	0	0
ENSG00000233010	0	0	0	0	0	0
ENSG00000233080	0	0	0	0	0	0
ENSG00000233157	0	0	0	0	0	0
ENSG00000233179	0	0	0	0	0	0
ENSG00000233360	0	0	0	0	0	0
ENSG00000233388	0	0	0	0	0	0
ENSG00000233408	0	0	0	0	0	0
ENSG00000233471	0	0	0	0	0	0
ENSG00000233521	0	0	0	0	0	0
ENSG00000233574	0	0	0	0	0	0
ENSG00000233577	0	0	0	0	0	0
ENSG00000233603	0	0	0	0	0	0
ENSG00000233632	0	0	0	0	0	0
ENSG00000233720	0	0	0	0	0	0
ENSG00000233733	0	0	0	0	0	0
ENSG00000233739	0	0	0	0	0	0
ENSG00000233764	0	0	0	0	0	0
ENSG00000233866	0	0	0	0	0	0
ENSG00000233903	0	6	0	0	0	0
ENSG00000233995	0	0	0	0	0	0
ENSG00000234009	15	43	7	4	0	6
ENSG00000234121	0	0	0	0	0	0
ENSG00000234208	0	0	0	0	0	0
ENSG00000234300	0	0	0	0	0	0
ENSG00000234353	0	0	0	0	0	0
ENSG00000234381	0	0	0	0	0	0
ENSG00000234409	0	0	0	0	0	0
ENSG00000234479	0	0	0	0	0	0
ENSG00000234503	0	0	0	0	0	0
ENSG00000234626	0	0	0	0	0	0
ENSG00000234630	0	0	0	0	0	0
ENSG00000234688	0	0	0	0	0	0
ENSG00000234726	0	0	0	0	0	0
ENSG00000234735	0	0	1	0	0	0
ENSG00000234764	0	3	0	0	1	0
ENSG00000234869	0	1	0	0	0	0
ENSG00000234884	1	0	0	0	0	0
ENSG00000234891	0	0	0	0	0	0
ENSG00000234892	0	0	0	0	0	0
ENSG00000234913	0	0	0	0	0	0
ENSG00000234928	0	0	0	0	0	0
ENSG00000234965	0	0	2	0	0	0
ENSG00000234979	0	0	0	0	0	0
ENSG00000235062	0	0	0	0	0	0
ENSG00000235091	0	0	0	0	0	0
ENSG00000235111	0	0	0	0	0	0
ENSG00000235154	0	0	0	0	0	0
ENSG00000235159	0	0	0	0	0	0
ENSG00000235209	0	0	0	0	0	0
ENSG00000235237	0	0	0	0	0	0
ENSG00000235246	0	0	0	0	0	0
ENSG00000235271	0	0	0	0	0	0
ENSG00000235295	0	0	0	0	0	0
ENSG00000235328	0	0	1	0	0	0
ENSG00000235343	0	0	0	0	0	0
ENSG00000235347	0	0	0	0	0	0
ENSG00000235445	0	0	0	0	0	0
ENSG00000235478	0	0	0	0	0	0
ENSG00000235485	0	0	0	0	0	0
ENSG00000235513	0	0	0	0	0	0
ENSG00000235568	0	0	0	0	0	0
ENSG00000235573	0	0	0	0	0	0
ENSG00000235578	0	0	0	0	0	0
ENSG00000235617	0	0	0	0	0	0
ENSG00000235647	0	0	0	0	0	0
ENSG00000235689	6	0	0	0	0	0
ENSG00000235759	0	0	0	0	0	0
ENSG00000235776	2	19	3	0	4	1
ENSG00000235786	0	0	0	0	0	0
ENSG00000235954	3.99999	24	15	1	0	4
ENSG00000235969	0	0	0	0	0	0
ENSG00000235989	0	1	0	0	0	0
ENSG00000235992	0	0	0	0	0	0
ENSG00000236003	0	0	0	0	0	0
ENSG00000236052	0	0	0	0	0	0
ENSG00000236054	0	0	0	0	0	0
ENSG00000236079	0	0	0	0	0	0
ENSG00000236097	0	0	0	0	0	0
ENSG00000236117	0	0	0	0	0	0
ENSG00000236118	0	0	0	0	0	0
ENSG00000236132	0	0	0	0	0	0
ENSG00000236235	0	0	0	0	0	0
ENSG00000236272	0	0	0	0	0	0
ENSG00000236323	0	0	0	0	0	0
ENSG00000236325	0	1	0	1	0	0
ENSG00000236464	0	0	0	0	0	0
ENSG00000236499	0	1	0	0	0	0
ENSG00000236540	0	11	0	0	0	0
ENSG00000236611	0	0	0	0	0	0
ENSG00000236641	0	0	0	0	0	0
ENSG00000236666	0	0	0	0	0	0
ENSG00000236670	0	2	1	0	0	0
ENSG00000236754	0	1	0	0	0	0
ENSG00000236794	2	0	0	0	0	0
ENSG00000236831	0	0	0	0	0	0
ENSG00000236858	0	0	0	0	0	0
ENSG00000236867	0	0	0	0	0	0
ENSG00000236890	0	0	0	0	0	0
ENSG00000237015	0	0	0	0	1	0
ENSG00000237037	1	2	1	0	0	0
ENSG00000237127	0	0	0	0	0	0
ENSG00000237129	0	0	0	0	0	0
ENSG00000237214	36	141	4	3	3	12
ENSG00000237299	0	2	2	0	0	0
ENSG00000237316	0	0	0	0	0	0
ENSG00000237347	0	0	0	0	0	0
ENSG00000237358	0	0	0	0	0	0
ENSG00000237387	0	0	0	0	0	0
ENSG00000237406	1	5	2	0	0	1
ENSG00000237407	0	0	0	0	0	0
ENSG00000237428	0	0	0	0	0	0
ENSG00000237438	0	10	0	0	0	1
ENSG00000237439	0	0	0	0	0	0
ENSG00000237446	0	0	0	0	0	0
ENSG00000237472	2	8	0	0	0	0
ENSG00000237476	1	3	1	0	0	0
ENSG00000237517	0	16	5	0	0	4
ENSG00000237601	0	0	0	0	0	0
ENSG00000237668	1	14	1	0	11	1
ENSG00000237689	0	0	0	0	0	0
ENSG00000237835	0	0	0	0	0	0
ENSG00000237862	0	0	0	0	0	0
ENSG00000237948	0	0	0	0	0	0
ENSG00000237977	0	1	0	0	0	0
ENSG00000238120	0	9	5	0	0	5
ENSG00000238125	0	0	0	0	0	0
ENSG00000238153	0	1	0	0	0	0
ENSG00000238192	0	0	0	0	0	0
ENSG00000238195	0	0	0	0	0	0
ENSG00000238498	0	0	0	0	0	0
ENSG00000238584	0	0	0	0	0	0
ENSG00000238875	0	0	0	0	0	0
ENSG00000239127	0	0	0	0	0	0
ENSG00000239249	0	0	0	0	0	0
ENSG00000239282	0	31	7	0	2	1
ENSG00000239435	0	0	0	0	0	0
ENSG00000239446	0	0	0	0	0	0
ENSG00000239511	0	0	0	0	0	0
ENSG00000239547	0	0	0	0	0	0
ENSG00000239674	0	0	0	0	0	0
ENSG00000239713	1	0	0	0	0	0
ENSG00000239900	86	538	180	8	10	61
ENSG00000239989	0	0	0	0	0	0
ENSG00000240122	0	0	0	0	0	0
ENSG00000240160	0	0	0	0	0	0
ENSG00000240186	0	0	0	0	0	0
ENSG00000240591	0	0	0	0	0	0
ENSG00000240647	0	0	0	0	0	0
ENSG00000240972	1114	5574	1942.99999	214	130	613
ENSG00000241333	0	0	0	0	0	0
ENSG00000241360	78	85	26	7	11	8
ENSG00000241484	0	5	4	0	0	1
ENSG00000241527	0	0	0	0	0	0
ENSG00000241693	0	0	0	0	0	0
ENSG00000241717	0	0	0	0	0	0
ENSG00000241832	0	0	0	0	0	0
ENSG00000241838	0	0	1	0	0	0
ENSG00000241878	48	45	11	5	5	10
ENSG00000241954	0	0	0	0	0	0
ENSG00000241973	13	66	17	5	2	5
ENSG00000241990	0	17	25	0	0	13
ENSG00000242082	0	0	0	0	0	0
ENSG00000242114	23.00001	228	73	6	1	30.00001
ENSG00000242156	0	0	0	0	0	0
ENSG00000242247	38	82	25	7	5	10
ENSG00000242251	0	0	0	0	0	0
ENSG00000242259	45.00001	91	33.00001	5	1.99999	16.00001
ENSG00000242876	0	0	0	0	0	0
ENSG00000243156	7	64	24	2	1	8
ENSG00000243519	0	0	0	0	0	0
ENSG00000243762	0	0	0	0	0	0
ENSG00000243811	0	0	0	0	0	0
ENSG00000243902	0	0	0	0	0	0
ENSG00000244296	0	0	0	0	0	0
ENSG00000244425	0	0	0	0	0	0
ENSG00000244486	27	9	4	2	3	0
ENSG00000244491	0	0	0	0	0	0
ENSG00000244509	14	35	30	1	1	3
ENSG00000244625	1	10	6	0	0	1
ENSG00000244627	0	2	0	0	5	4
ENSG00000244671	0	0	0	0	0	0
ENSG00000244723	0	0	0	0	0	0
ENSG00000244752	1	0	0	0	0	0
ENSG00000248405	0	1.99999	0	0	0	0
ENSG00000248409	0	0	0	0	0	0
ENSG00000248751	0	0	3	0	0	0
ENSG00000249222	0	4	0	0	0	0
ENSG00000249263	0	0	0	0	0	0
ENSG00000249288	0	0	0	0	0	0
ENSG00000249310	0	0	0	0	0	0
ENSG00000249333	0	0	0	0	0	0
ENSG00000249590	0	1	0	0	0	0
ENSG00000249680	0	0	0	0	0	0
ENSG00000249923	0	0	0	0	0	0
ENSG00000250261	0	0	0	0	0	0
ENSG00000250318	1	2	1	0	0	0
ENSG00000250470	0	0	0	0	0	0
ENSG00000250479	276	896	373	39	21	98
ENSG00000251322	22	8	9	1	0	1
ENSG00000251357	1	0	1	0	0	2
ENSG00000251890	0	0	0	0	0	0
ENSG00000251913	0	0	0	0	0	0
ENSG00000251940	0	0	0	0	0	0
ENSG00000251952	0	0	0	0	0	0
ENSG00000251985	0	1	0	0	0	0
ENSG00000252020	0	0	0	0	0	0
ENSG00000252143	0	0	0	0	0	0
ENSG00000252225	0	0	0	0	0	0
ENSG00000252267	0	0	0	0	0	0
ENSG00000252412	0	0	0	0	0	0
ENSG00000252603	0	0	0	0	0	0
ENSG00000252859	0	0	0	0	0	0
ENSG00000252909	0	0	0	0	0	0
ENSG00000253007	0	0	0	0	0	0
ENSG00000253120	0	0	0	0	0	0
ENSG00000253126	0	0	0	0	0	0
ENSG00000253152	0	0	0	0	0	0
ENSG00000253234	0	0	0	0	0	0
ENSG00000253239	0	0	0	0	0	0
ENSG00000253242	0	0	0	0	0	0
ENSG00000253329	0	0	0	0	0	0
ENSG00000253338	0	0	0	0	0	0
ENSG00000253352	38	61	30	4	6	13
ENSG00000253448	0	0	0	0	0	0
ENSG00000253451	0	0	0	0	0	0
ENSG00000253460	0	0	0	0	0	0
ENSG00000253481	0	0	0	0	0	0
ENSG00000253546	0	0	0	0	0	0
ENSG00000253590	0	0	0	0	0	0
ENSG00000253631	0	0	0	0	0	0
ENSG00000253637	0	0	0	0	0	0
ENSG00000253691	0	0	0	0	0	0
ENSG00000253752	0	0	0	0	0	0
ENSG00000253779	0	0	0	0	0	0
ENSG00000253786	0	0	0	0	0	0
ENSG00000253794	0	0	0	0	0	0
ENSG00000253818	0	0	0	0	0	0
ENSG00000253822	0	0	0	0	0	0
ENSG00000253823	0	0	0	0	0	0
ENSG00000253874	0	0	0	0	0	0
ENSG00000253889	0	0	0	0	0	0
ENSG00000253913	0	0	0	0	0	0
ENSG00000253920	0	0	0	0	0	0
ENSG00000253935	0	0	0	0	0	0
ENSG00000253963	0	0	0	0	0	0
ENSG00000254029	0	0	0	0	0	0
ENSG00000254030	0	0	0	0	0	0
ENSG00000254073	0	0	0	0	0	0
ENSG00000254075	0	0	0	0	0	0
ENSG00000254077	0	0	0	0	0	0
ENSG00000254127	0	0	0	0	0	0
ENSG00000254161	0	0	0	0	0	0
ENSG00000254175	0	0	0	0	0	0
ENSG00000254240	0	0	0	0	0	0
ENSG00000254264	0	0	0	0	0	0
ENSG00000254308	0	0	0	0	0	0
ENSG00000254355	0	0	0	0	0	0
ENSG00000254413	0	6	0	0	0	0
ENSG00000254499	0	0	0	0	0	0
ENSG00000254709	0	0	0	0	0	0
ENSG00000254835	0	0	0	0	0	0
ENSG00000255156	0	0	0	0	0	0
ENSG00000258555	0	0	0	0	0	0
ENSG00000259271	0	0	0	0	0	0
ENSG00000259421	0	0	0	0	0	0
ENSG00000260613	0	0	0	0	0	0
ENSG00000260708	6	18	5	3	1	2
ENSG00000260924	4	1	0	0	0	2
ENSG00000261188	1	7	3	0	0	1
ENSG00000261202	0	0	0	0	0	0
ENSG00000261251	0	0	0	0	0	0
ENSG00000261675	0	0	0	0	0	0
ENSG00000263366	0	0	0	0	0	0
ENSG00000263764	0	0	0	0	0	0
ENSG00000264073	0	0	0	0	0	0
ENSG00000264139	0	0	0	0	0	0
ENSG00000264141	0	0	0	0	0	0
ENSG00000264160	0	0	0	0	0	0
ENSG00000264346	0	0	0	0	0	0
ENSG00000264661	0	0	0	0	0	0
ENSG00000264757	0	1	0	0	0	0
ENSG00000264824	0	0	0	0	0	0
ENSG00000266012	0	0	0	0	0	0
ENSG00000266320	0	0	0	0	0	0
ENSG00000266503	0	0	0	0	0	0
ENSG00000266508	0	0	0	0	0	0
ENSG00000266533	0	0	0	0	0	0
ENSG00000266594	0	0	0	0	0	0
ENSG00000266887	0	0	0	0	0	0
ENSG00000267338	0	0	0	0	0	0
ENSG00000268292	0	0	0	0	0	0
ENSG00000268812	0	0	0	0	0	0
ENSG00000268818	0	1	0	0	0	0
ENSG00000269220	5	0	0	1	2	0
ENSG00000269972	0	0	0	0	0	0
ENSG00000269987	0	0	1	0	0	0
ENSG00000270022	0	0	0	0	0	0
ENSG00000270083	0	0	0	0	0	0
ENSG00000270226	0	0	0	0	0	0
ENSG00000270393	0	0	0	0	0	0
ENSG00000271093	0	0	0	0	0	0
ENSG00000271127	0	1	3	0	0	0
ENSG00000271138	0	0	0	0	0	0
ENSG00000271181	0	0	0	0	0	0
ENSG00000271275	0	0	0	0	0	0
ENSG00000271672	0	0	0	0	0	0
ENSG00000272578	0	0	0	0	0	0
ENSG00000272582	0	0	0	0	0	0
ENSG00000272600	0	2	0	0	0	0
ENSG00000272666	1	1	0	0	0	0
ENSG00000272669	0	0	1	0	0	0
ENSG00000272682	1	0	0	0	0	0
ENSG00000272689	1	0	0	0	0	0
ENSG00000272694	0	0	0	0	0	0
ENSG00000272720	0	0	0	0	0	0
ENSG00000272733	0	0	0	0	0	0
ENSG00000272779	13	83	21	1	2	5
ENSG00000272787	0	0	0	0	0	0
ENSG00000272798	0	0	0	0	0	0
ENSG00000272821	0	8	1	0	0	1
ENSG00000272829	0	0	0	0	0	0
ENSG00000272834	0	0	0	0	0	0
ENSG00000272836	0	0	0	0	0	0
ENSG00000272858	0	0	0	0	0	0
ENSG00000272872	4	0	3	0	0	0
ENSG00000272940	0	0	1	0	0	0
ENSG00000272942	0	0	0	0	0	0
ENSG00000272954	0	0	0	0	0	0
ENSG00000272973	3	0	0	0	0	0
ENSG00000272977	1	2	1	0	1	0
ENSG00000273000	3	0	0	0	0	1
ENSG00000273032	0	0	0	0	0	0
ENSG00000273044	0	0	0	0	0	0
ENSG00000273068	0	0	0	0	0	0
ENSG00000273076	1	0	0	0	0	0
ENSG00000273082	0	0	0	0	0	0
ENSG00000273096	0	0	0	0	0	0
ENSG00000273137	0	0	0	0	0	0
ENSG00000273139	0	0	0	0	0	0
ENSG00000273145	0	9	1	0	0	1
ENSG00000273164	0	0	0	0	0	0
ENSG00000273176	0	0	0	0	0	0
ENSG00000273188	0	1	0	0	0	0
ENSG00000273192	1	1	0	0	0	0
ENSG00000273203	0	1	1	0	0	0
ENSG00000273212	0	0	0	0	0	0
ENSG00000273214	0	0	0	0	0	0
ENSG00000273216	0	0	0	0	0	0
ENSG00000273243	0	1	0	0	0	0
ENSG00000273244	0	0	0	0	0	0
ENSG00000273253	1	1	0	0	0	0
ENSG00000273272	0	0	0	0	0	0
ENSG00000273287	0	0	0	0	0	0
ENSG00000273289	0	0	0	0	0	1
ENSG00000273295	0	0	0	0	0	0
ENSG00000273300	0	0	0	0	0	0
ENSG00000273311	0	1	1	0	0	0
ENSG00000273325	0	1	0	0	0	0
ENSG00000273342	0	0	0	0	0	0
ENSG00000273343	0	0	0	0	0	0
ENSG00000273350	0	0	0	0	0	0
ENSG00000273353	0	0	0	0	0	0
ENSG00000273362	0	0	0	0	0	0
ENSG00000273366	1	2	1	0	0	0
ENSG00000273387	0	1	0	0	0	0
ENSG00000273424	0	0	1	0	0	0
ENSG00000273428	0	0	0	0	0	0
ENSG00000273442	0	0	0	0	0	0
ENSG00000273643	0	0	0	0	0	0
ENSG00000273846	0	0	0	0	0	0
ENSG00000273866	0	0	0	0	0	0
ENSG00000273899	20	138	41	5	0	4
ENSG00000273907	0	0	0	0	0	0
ENSG00000273979	0	0	0	0	0	0
ENSG00000274044	0	0	0	0	0	0
ENSG00000274170	0	0	0	0	0	0
ENSG00000274252	0	0	0	0	0	0
ENSG00000274280	0	0	0	0	0	0
ENSG00000274342	0	0	0	0	0	0
ENSG00000274381	0	0	0	0	0	0
ENSG00000274422	1	1	0	0	0	0
ENSG00000274457	0	0	0	0	0	0
ENSG00000274552	0	0	0	0	0	0
ENSG00000274600	0	0	0	0	0	1
ENSG00000274602	4	6	5	2	1	1
ENSG00000274617	0	0	0	0	0	0
ENSG00000274625	0	0	0	0	0	0
ENSG00000274717	0	0	0	0	0	0
ENSG00000275004	4	5	5	1	0	1
ENSG00000275060	0	0	0	0	0	0
ENSG00000275293	0	0	0	0	0	0
ENSG00000275307	0	0	0	0	0	0
ENSG00000275319	0	0	0	0	0	0
ENSG00000275361	0	0	0	0	0	0
ENSG00000275362	0	0	0	0	0	0
ENSG00000275609	0	0	0	0	0	0
ENSG00000275635	0	0	0	0	0	0
ENSG00000275656	0	0	0	0	0	0
ENSG00000275772	0	0	0	0	0	0
ENSG00000275793	0	5	0	0	0	3
ENSG00000275818	0	0	0	0	0	0
ENSG00000275840	0	0	0	0	0	0
ENSG00000275942	0	0	0	0	0	0
ENSG00000276027	0	0	0	0	0	0
ENSG00000276057	0	0	0	0	0	0
ENSG00000276095	0	0	0	0	0	0
ENSG00000276138	0	0	0	0	0	0
ENSG00000276150	0	0	0	0	0	0
ENSG00000276160	0	0	0	0	0	0
ENSG00000276162	0	0	0	0	0	0
ENSG00000276400	0	0	0	0	0	0
ENSG00000276427	0	0	0	0	0	0
ENSG00000276664	0	0	0	0	0	0
ENSG00000276675	0	0	0	0	0	0
ENSG00000276753	0	0	0	0	0	0
ENSG00000276800	0	0	0	0	0	0
ENSG00000276871	0	0	0	0	0	0
ENSG00000276874	0	0	0	0	0	0
ENSG00000276950	2	0	0	0	0	0
ENSG00000276965	0	0	0	0	0	0
ENSG00000276991	0	0	0	0	0	0
ENSG00000277017	0	0	0	0	0	0
ENSG00000277232	0	0	0	0	0	0
ENSG00000277248	0	0	0	0	0	0
ENSG00000277385	0	0	0	0	0	0
ENSG00000277460	0	0	0	0	0	0
ENSG00000277690	0	0	0	0	0	0
ENSG00000277771	0	0	0	0	0	0
ENSG00000277870	0	0	0	0	0	0
ENSG00000277872	0	0	0	0	0	0
ENSG00000277941	0	0	0	0	0	0
ENSG00000277950	0	0	0	0	0	0
ENSG00000277971	1	0	0	1	0	0
ENSG00000278008	0	0	0	0	0	0
ENSG00000278044	0	0	0	0	0	0
ENSG00000278110	0	0	0	0	0	0
ENSG00000278188	0	0	0	0	0	0
ENSG00000278195	1	0	0	0	0	0
ENSG00000278196	0	0	0	0	0	0
ENSG00000278278	0	0	0	0	0	0
ENSG00000278292	0	0	0	0	0	0
ENSG00000278404	0	0	0	0	0	0
ENSG00000278420	0	0	0	0	0	0
ENSG00000278558	2	3	0	1	0	1
ENSG00000278655	0	0	0	0	0	0
ENSG00000278657	0	0	0	0	0	0
ENSG00000278667	0	0	0	0	0	0
ENSG00000278869	0	0	0	0	0	0
ENSG00000278881	0	0	0	0	0	0
ENSG00000278890	0	0	0	0	0	0
ENSG00000278920	0	0	0	0	0	0
ENSG00000278948	0	0	0	0	0	0
ENSG00000278960	0	0	0	0	0	0
ENSG00000279006	0	0	0	0	0	0
ENSG00000279010	6	7	0	0	0	0
ENSG00000279080	0	0	0	0	0	0
ENSG00000279085	0	0	0	0	0	0
ENSG00000279110	0	0	0	0	0	0
ENSG00000279159	0	0	0	0	0	0
ENSG00000279175	0	0	0	0	0	0
ENSG00000279182	0	0	0	0	0	0
ENSG00000279217	0	0	0	0	0	0
ENSG00000279278	0	0	0	0	0	0
ENSG00000279298	0	0	0	0	0	0
ENSG00000279345	0	0	0	0	0	0
ENSG00000279440	0	0	0	0	0	0
ENSG00000279442	2	0	0	0	0	0
ENSG00000279467	0	0	0	0	0	0
ENSG00000279494	0	0	0	0	0	0
ENSG00000279548	0	0	0	0	0	0
ENSG00000279597	0	0	0	0	0	0
ENSG00000279642	0	0	0	0	0	0
ENSG00000279652	0	0	0	0	0	0
ENSG00000279699	0	0	0	0	0	0
ENSG00000279712	0	0	0	0	0	0
ENSG00000279714	0	0	0	0	0	0
ENSG00000279738	5	1	5	1	0	0
ENSG00000279805	0	0	0	0	0	0
ENSG00000279833	1	0	0	0	0	0
ENSG00000279848	0	0	0	0	0	0
ENSG00000279914	0	0	0	0	0	0
ENSG00000279920	0	0	0	0	0	0
ENSG00000279927	0	0	0	0	0	0
ENSG00000279933	0	0	0	0	0	0
ENSG00000279954	0	0	0	0	0	0
ENSG00000279973	0	0	0	0	0	0
ENSG00000279987	0	0	0	0	0	0
ENSG00000280007	0	0	0	0	0	0
ENSG00000280011	0	0	0	0	0	0
ENSG00000280025	0	0	0	0	0	0
ENSG00000280080	0	0	0	0	0	0
ENSG00000280156	0	0	0	0	0	0
ENSG00000280199	0	0	0	0	0	0
ENSG00000280216	0	0	0	0	0	0
ENSG00000280224	0	0	0	0	0	0
ENSG00000280263	0	0	0	0	0	0
ENSG00000280312	0	0	0	0	0	0
ENSG00000280341	0	0	0	0	0	0
ENSG00000280356	0	0	0	0	0	0
ENSG00000280383	0	6	2	1	0	1
ENSG00000280384	0	0	0	0	0	0
ENSG00000280395	0	0	0	0	0	0
ENSG00000280418	0	0	0	0	0	0
ENSG00000280424	0	0	0	0	0	0
ENSG00000280434	0	0	0	0	0	0
ENSG00000280445	0	0	0	0	0	0
ENSG00000280623	0	0	0	0	0	0
ENSG00000280968	0	0	0	0	0	0
ENSG00000281295	0	0	0	0	0	0
ENSG00000281530	0	0	0	0	0	0
ENSG00000281538	1	0	0	0	0	0
ENSG00000281548	0	0	0	0	0	0
